TradeId,EntryDate,EntryPrice,InitialStop,ExitDate,ExitPrice,ExitReason,HoldingDays,PnL_pct,MaxFavorablePct,MaxAdversePct
48,2020-06-18,747.79,684.9316845046857,2020-10-19,980.5912193829776,TRAILING_STOP,87,31.131897910239186,43.66867703499645,-3.0369488760213326
49,2021-01-20,931.67,872.6357490291598,2021-01-22,925.2700666666665,SMA150_BREAK,3,-0.6869313526606502,3.1770906007491946,-2.594266210138779
50,2021-02-25,972.32,900.0387097679883,2021-03-17,935.4617333333334,TRAILING_STOP|SMA150_BREAK,14,-3.790754758378581,4.081989468487734,-3.817673194010203
51,2021-05-28,949.85,887.9297086553157,2021-06-25,966.2704877352404,TRAILING_STOP,21,1.7287453529757735,8.976154129599397,-5.002895193977994
52,2021-08-16,988.97,931.6563672968437,2021-10-29,1163.8387392330708,TRAILING_STOP,52,17.681905339198433,26.586246296652078,-2.087019828710677
53,2022-01-12,1147.13,1078.4964605128941,2022-01-24,1089.9868674551124,TRAILING_STOP|SMA150_BREAK,9,-4.9813998888432645,1.8323991177983296,-2.7407530096850445
54,2022-03-22,1151.7,1053.504690630959,2022-05-06,1189.6114794501764,TRAILING_STOP,31,3.291784271092848,12.840149344447326,-3.0632977337848373
55,2022-06-03,1264.71,1159.0300089399905,2022-06-15,1178.4573976793977,TRAILING_STOP,9,-6.819951002253667,1.3615769623075666,-5.974492176071981
56,2022-08-01,1171.59,1097.36944181871,2022-09-16,1157.6131333333333,TRAILING_STOP|SMA150_BREAK,32,-1.1929827556283885,4.033834361850134,-2.611835198320224
57,2022-10-31,1163.88,1091.3956580719523,2022-11-01,1162.3904666666667,SMA150_BREAK,2,-0.12797997502606656,0.44592226002679203,-0.6822009141835974
58,2022-11-07,1189.9,1108.6397525263085,2022-11-21,1161.5175333333334,SMA150_BREAK,10,-2.385281676331346,1.3580973191024333,-1.6724094461719545
59,2022-11-28,1235.99,1160.7236009280275,2022-12-16,1168.3113551369217,TRAILING_STOP,15,-5.47566281790939,1.7524413627942041,-7.592294436039119
60,2023-05-04,1117.5,1063.4586320020355,2023-05-05,1117.4074,SMA150_BREAK,2,-0.008286353467556833,0.19865771812080782,-1.3637583892617458
61,2023-05-08,1128.41,1070.6249158588982,2023-05-16,1119.7323333333334,SMA150_BREAK,7,-0.7690171716545147,1.5216100530835286,-1.1219326308699924
62,2023-05-29,1150.65,1099.304285347201,2023-06-02,1121.2162666666666,SMA150_BREAK,5,-2.558009241153567,0.6778777212879636,-2.4838134967192587
63,2023-06-14,1164.91,1109.0103834911936,2023-08-28,1212.2687795313198,TRAILING_STOP,52,4.06544535898221,11.918517310350147,-2.554703796859842
64,2023-11-21,1180.71,1128.175502797283,2023-11-30,1178.2572666666667,SMA150_BREAK,7,-0.20773376471219002,1.3889947573917272,-0.7859677651582498
65,2023-12-04,1201.21,1145.7572844432527,2024-03-13,1427.1807703349857,TRAILING_STOP,69,18.811928833008853,24.985639480190798,-0.8924334629248863
66,2024-06-03,1499.23,1406.0329465230568,2024-06-04,1406.0329465230568,TRAILING_STOP|SMA150_BREAK,2,-6.216327946808909,0.2761417527664116,-3.398411184407999
67,2024-06-27,1519.3,1428.8842053530552,2024-07-22,1493.7496433352455,TRAILING_STOP,17,-1.681718993270218,5.112880932008166,-1.6033699730138815
68,2025-04-28,1363.35,1228.5153867294184,2025-07-21,1447.8912346016375,TRAILING_STOP,60,6.200992745930069,13.311328712362933,-3.550078849891801
69,2025-10-20,1466.8,1384.523327987771,2026-01-06,1525.5660685460762,TRAILING_STOP,54,4.006413181488697,9.885464957731116,-2.283883283337879
