Date,Open,High,Low,Close,Volume,SMA150,DonchianLow15,ATR14,RSI14,StopLoss,MA30,DonchianHigh20,DonchianHigh20_prev,BuyCall,EntryPrice,StopLoss_Entry,CandidateStop,TrailingStop,InPosition,EntryDate,ExitSignal,ExitPrice,ExitReason,TradeId,HoldingDays,PnL_pct
2020-12-11,912.76,924.09,895.19,909.49,26944202,886.46,859.25,22.22,51.8,858.23,894.84,945.4,945.4,0,,,858.23,,0,,0,,,,,
2020-12-14,910.47,913.66,900.67,902.92,17312747,887.97,871.22,21.56,49.48,858.42,893.88,945.4,945.4,0,,,858.42,,0,,0,,,,,
2020-12-15,902.19,902.19,889.22,895.23,18551265,889.62,871.22,21.0,46.83,853.83,895.35,945.4,945.4,0,,,853.83,,0,,0,,,,,
2020-12-16,901.42,904.57,891.31,896.23,18561011,891.2,871.22,20.44,47.22,854.85,897.25,924.09,945.4,0,,,854.85,,0,,0,,,,,
2020-12-17,899.83,909.13,896.5,900.33,20252358,892.86,871.22,19.91,48.9,857.85,898.35,924.09,924.09,0,,,857.85,,0,,0,,,,,
2020-12-18,897.84,909.08,890.99,903.03,18466344,894.64,871.22,19.78,50.03,859.68,898.9,924.09,924.09,0,,,859.68,,0,,0,,,,,
2020-12-21,911.4,916.84,841.23,879.52,44135540,896.19,841.23,23.76,41.45,831.86,897.55,924.09,924.09,0,,,831.86,,0,,0,,,,,
2020-12-22,883.74,888.23,856.28,878.16,28140001,897.71,841.23,24.35,41.01,830.59,895.83,924.09,924.09,0,,,830.59,,0,,0,,,,,
2020-12-23,875.12,884.85,870.88,881.4,19501410,899.27,841.23,23.61,42.57,833.17,893.7,924.09,924.09,0,,,833.17,,0,,0,,,,,
2020-12-24,882.83,906.32,882.33,904.21,20776988,901.01,841.23,23.7,52.15,847.82,893.65,924.09,924.09,0,,,847.82,,0,,0,,,,,
2020-12-28,909.9,915.02,904.73,908.36,17221499,902.72,841.23,22.78,53.66,851.12,894.01,924.09,924.09,0,,,851.12,,0,,0,,,,,
2020-12-29,910.94,912.44,898.95,902.35,18611939,904.3,841.23,22.12,51.14,847.68,893.91,924.09,924.09,0,,,847.68,,0,,0,,,,,
2020-12-30,904.71,910.13,895.78,904.82,22043630,905.92,841.23,21.56,52.13,849.64,893.81,924.09,924.09,0,,,849.64,,0,,0,,,,,
2020-12-31,903.92,912.26,897.16,900.2,18781189,907.35,841.23,21.1,50.08,846.97,893.69,924.09,924.09,0,,,846.97,,0,,0,,,,,
2021-01-01,901.42,905.5,898.7,901.19,10015175,908.73,841.23,20.08,50.53,848.29,893.69,924.09,924.09,0,,,848.29,,0,,0,,,,,
2021-01-04,904.64,906.36,892.35,902.71,24513534,910.11,841.23,19.65,51.26,849.56,893.96,924.09,924.09,0,,,849.56,,0,,0,,,,,
2021-01-05,892.81,899.43,886.91,891.49,24123091,911.3,841.23,19.37,45.89,842.51,894.96,924.09,924.09,0,,,842.51,,0,,0,,,,,
2021-01-06,891.4,891.45,863.85,867.98,46401468,912.32,841.23,19.96,37.13,826.95,894.41,924.09,924.09,0,,,826.95,,0,,0,,,,,
2021-01-07,870.81,881.92,863.85,866.58,32325918,913.37,841.23,19.83,36.68,826.14,893.61,924.09,924.09,0,,,826.14,,0,,0,,,,,
2021-01-08,869.68,878.93,867.01,876.8,27540187,914.59,841.23,19.29,42.18,833.08,893.4,924.09,924.09,0,,,833.08,,0,,0,,,,,
2021-01-11,879.11,879.11,858.12,860.27,33307825,915.59,841.23,19.41,36.64,822.34,892.56,916.84,924.09,0,,,822.34,,0,,0,,,,,
2021-01-12,862.88,888.73,861.47,887.39,41161546,916.88,856.28,20.06,48.58,844.42,892.98,916.84,916.84,0,,,844.42,,0,,0,,,,,
2021-01-13,890.33,895.5,869.89,879.11,26619458,917.96,858.12,20.46,45.74,839.43,892.73,916.84,916.84,0,,,839.43,,0,,0,,,,,
2021-01-14,881.92,891.85,879.23,889.0,21553242,919.02,858.12,19.9,49.53,846.18,892.77,916.84,916.84,0,,,846.18,,0,,0,,,,,
2021-01-15,889.0,894.98,870.61,878.5,20593268,920.01,858.12,20.22,45.87,839.19,892.37,916.84,916.84,0,,,839.19,,0,,0,,,,,
2021-01-18,883.78,905.5,872.11,899.58,35100458,921.14,858.12,21.16,53.33,852.16,892.93,916.84,916.84,0,,,852.16,,0,,0,,,,,
2021-01-19,904.44,920.92,904.44,914.3,32006615,922.25,858.12,21.18,57.71,861.65,893.81,920.92,916.84,0,,,861.65,,0,,0,,,,,
2021-01-20,916.57,933.16,907.5,931.67,30924537,923.17,858.12,21.5,62.22,872.64,894.73,933.16,920.92,1,931.67,872.64,872.64,872.64,1,2021-01-20,0,,,49,,
2021-01-21,944.04,961.27,940.87,951.93,39087742,924.26,858.12,22.08,66.68,885.32,895.83,961.27,933.16,0,,,885.32,885.32,1,2021-01-20,0,,,49,,
2021-01-22,957.19,959.17,922.8,929.35,30532660,925.27,858.12,23.1,58.4,870.07,896.47,961.27,961.27,0,,,870.07,885.32,1,2021-01-20,1,925.27,SMA150_BREAK,49,3,-0.69
2021-01-25,922.71,922.71,876.03,880.11,54207104,925.94,858.12,25.26,45.22,836.87,895.49,961.27,961.27,0,,,836.87,,0,,0,,,,,
2021-01-27,872.86,872.86,856.08,859.25,42370131,926.49,856.08,25.17,41.0,822.8,894.04,961.27,961.27,0,,,822.8,,0,,0,,,,,
2021-01-28,852.52,872.08,847.92,850.89,34067814,926.92,847.92,25.1,39.41,814.73,892.56,961.27,961.27,0,,,814.73,,0,,0,,,,,
2021-01-29,858.93,867.46,829.78,835.2,43712383,927.3,829.78,25.99,36.55,797.97,890.52,961.27,961.27,0,,,797.97,,0,,0,,,,,
2021-02-01,843.11,863.79,837.94,859.39,34180952,927.9,829.78,26.18,43.37,813.45,889.16,961.27,961.27,0,,,813.45,,0,,0,,,,,
2021-02-02,867.98,879.66,841.09,873.22,41470034,928.49,829.78,27.07,46.89,821.78,888.16,961.27,961.27,0,,,821.78,,0,,0,,,,,
2021-02-03,874.35,885.1,861.52,875.42,30301696,929.01,829.78,26.82,47.45,823.36,888.03,961.27,961.27,0,,,823.36,,0,,0,,,,,
2021-02-04,872.4,879.66,863.79,872.54,25626981,929.42,829.78,26.03,46.76,822.03,887.84,961.27,961.27,0,,,822.03,,0,,0,,,,,
2021-02-05,875.14,881.77,870.59,872.29,20248046,929.64,829.78,24.97,46.69,822.57,887.54,961.27,961.27,0,,,822.57,,0,,0,,,,,
2021-02-08,876.51,892.81,874.69,884.85,21183400,930.02,829.78,24.66,50.36,830.88,886.89,961.27,961.27,0,,,830.88,,0,,0,,,,,
2021-02-09,889.61,902.15,885.23,886.98,19604141,930.5,829.78,24.13,50.98,832.61,886.18,961.27,961.27,0,,,832.61,,0,,0,,,,,
