Date,Open,High,Low,Close,Volume,SMA150,DonchianLow15,ATR14,StopLoss,MA30,DonchianHigh20,DonchianHigh20_prev,BuyCall,EntryPrice,StopLoss_Entry
2024-01-10,394.35,395.19,380.6,389.12,426551,,345.78,17.62,354.49,360.15,410.39,410.39,0,,
2024-01-11,393.5,398.53,383.64,384.73,190808,,345.78,17.43,351.79,360.87,410.39,410.39,0,,
2024-01-12,386.58,391.56,374.27,376.61,261050,,353.25,17.42,349.05,361.47,410.39,410.39,0,,
2024-01-15,376.61,376.61,376.61,376.61,0,,356.89,16.17,351.09,362.5,410.39,410.39,0,,
2024-01-16,363.61,377.06,358.83,369.04,477879,,358.83,16.32,346.76,363.0,410.39,410.39,0,,
2024-01-17,366.05,368.24,360.67,362.22,156948,,358.83,15.75,342.74,363.11,410.39,410.39,0,,
2024-01-18,367.25,373.72,349.71,368.24,270844,,349.71,16.34,343.19,363.81,410.39,410.39,0,,
2024-01-19,368.64,378.41,368.64,372.88,191425,,349.71,15.9,346.48,364.61,410.39,410.39,0,,
2024-01-23,372.63,372.63,349.71,351.95,183085,,349.71,16.42,332.63,365.07,410.39,410.39,0,,
2024-01-24,351.95,357.38,348.97,356.64,170039,,348.97,15.85,335.79,365.91,410.39,410.39,0,,
2024-01-25,356.64,360.72,352.35,358.43,123056,,348.97,15.31,337.3,367.16,410.39,410.39,0,,
2024-01-29,359.53,383.59,355.74,379.55,398690,,348.97,16.21,350.33,368.41,410.39,410.39,0,,
2024-01-30,376.26,382.59,364.21,366.05,200838,,348.97,16.37,341.52,369.53,410.39,410.39,0,,
2024-01-31,366.65,366.65,350.66,352.85,402971,,348.97,16.34,333.02,369.76,410.39,410.39,0,,
2024-02-01,352.85,356.84,344.83,346.18,506507,,344.83,16.03,327.54,369.59,410.39,410.39,0,,
2024-02-02,349.21,351.11,332.03,333.67,401226,,332.03,16.25,315.06,368.69,410.39,410.39,0,,
2024-02-05,336.41,336.41,324.9,329.14,440050,,324.9,15.91,309.99,367.89,410.39,410.39,0,,
2024-02-06,334.12,347.87,322.81,344.48,1240365,,322.81,16.56,318.75,367.46,410.39,410.39,0,,
2024-02-07,346.67,355.69,340.1,352.75,422369,,322.81,16.49,324.13,367.22,404.46,410.39,0,,
2024-02-08,353.7,358.38,346.08,352.7,224291,,322.81,16.19,324.3,366.7,398.53,404.46,0,,
2024-02-09,352.7,361.67,339.6,354.25,278057,,322.81,16.61,325.02,366.18,398.53,398.53,0,,
2024-02-12,354.25,360.52,338.2,342.79,118731,,322.81,17.02,317.36,365.35,391.56,398.53,0,,
2024-02-13,343.68,343.73,328.99,334.37,122404,,322.81,16.86,312.03,364.28,383.59,391.56,0,,
2024-02-14,342.54,342.54,330.83,338.85,51365,,322.81,16.49,315.17,363.34,383.59,383.59,0,,
2024-02-15,339.75,341.19,331.78,336.16,128255,,322.81,15.98,313.77,361.96,383.59,383.59,0,,
2024-02-16,341.09,341.64,332.77,340.05,169827,,322.81,15.48,316.62,360.88,383.59,383.59,0,,
2024-02-19,342.74,354.3,338.8,345.58,193324,,322.81,15.48,320.18,359.64,383.59,383.59,0,,
2024-02-20,342.79,355.39,342.79,352.35,174272,,322.81,15.27,324.69,358.86,383.59,383.59,0,,
2024-02-21,355.64,363.76,344.23,346.87,460870,,322.81,15.58,320.95,357.03,383.59,383.59,0,,
2024-02-22,347.72,350.61,341.74,348.47,264101,,322.81,15.1,322.3,355.45,383.59,383.59,0,,
2024-02-23,348.52,358.38,345.28,356.74,176890,,322.81,14.95,327.73,354.37,383.59,383.59,0,,
2024-02-26,362.37,362.96,352.85,361.32,212155,,322.81,14.61,330.92,353.59,382.59,383.59,0,,
2024-02-27,361.32,365.35,356.34,357.98,382297,,328.99,14.21,331.09,352.97,366.65,382.59,0,,
2024-02-28,358.68,360.67,346.13,348.67,145525,,328.99,14.23,325.07,352.04,365.35,366.65,0,,
2024-02-29,346.82,352.65,340.25,342.74,303429,,328.99,14.1,321.33,351.16,365.35,365.35,0,,
2024-03-01,339.45,348.77,339.25,345.53,142809,,328.99,13.77,323.35,350.61,365.35,365.35,0,,
2024-03-04,350.71,352.7,342.94,350.01,140136,,328.99,13.49,326.43,350.0,365.35,365.35,0,,
2024-03-05,351.71,351.71,342.74,345.53,57933,,330.83,13.16,324.37,349.09,365.35,365.35,0,,
2024-03-06,343.73,344.53,334.07,341.84,174352,,331.78,13.04,322.38,348.75,365.35,365.35,0,,
2024-03-07,345.63,358.68,340.35,351.06,182475,,332.77,13.42,328.41,348.57,365.35,365.35,0,,
2024-03-11,350.71,350.71,343.14,348.07,105407,,334.07,13.03,327.18,348.22,365.35,365.35,0,,
2024-03-12,347.97,349.76,334.07,341.79,121881,,334.07,13.22,323.0,346.96,365.35,365.35,0,,
2024-03-13,346.28,346.28,328.44,335.17,217089,,328.44,13.55,316.63,345.93,365.35,365.35,0,,
2024-03-14,333.52,345.68,331.68,342.64,158272,,328.44,13.58,321.43,345.59,365.35,365.35,0,,
2024-03-15,344.63,347.52,338.85,346.03,131807,,328.44,13.23,323.85,345.59,365.35,365.35,0,,
2024-03-18,346.08,366.05,343.04,360.52,253032,,328.44,13.93,332.73,346.48,366.05,365.35,0,,
2024-03-19,362.61,366.1,357.09,363.71,266943,,328.44,13.58,335.02,347.63,366.1,366.05,0,,
2024-03-20,368.54,370.59,354.2,362.61,147289,,328.44,13.78,334.18,348.24,370.59,366.1,0,,
2024-03-21,368.34,370.09,354.3,363.21,146598,,328.44,13.92,334.47,348.59,370.59,370.59,0,,
2024-03-22,365.7,369.64,360.67,368.34,143144,,328.44,13.57,338.01,349.11,370.59,370.59,0,,
2024-03-26,369.64,378.06,354.74,372.03,314696,,328.44,14.26,339.93,349.7,378.06,370.59,1,372.03,339.93
2024-03-27,372.03,376.61,362.86,373.18,282065,,328.44,14.23,340.7,350.71,378.06,378.06,0,,
2024-03-28,376.26,383.24,369.74,381.5,260324,,328.44,14.18,346.1,352.28,383.24,378.06,1,381.5,346.1
2024-04-01,385.48,396.54,382.79,389.96,268859,,328.44,14.24,351.51,353.99,396.54,383.24,0,,
2024-04-02,390.51,391.56,379.1,382.74,164997,,328.44,14.11,346.94,355.54,396.54,396.54,0,,
2024-04-03,382.74,388.37,377.41,383.94,148470,,328.44,13.89,347.86,357.0,396.54,396.54,0,,
2024-04-04,388.47,401.52,385.73,396.74,297295,,328.44,14.15,355.94,358.71,401.52,396.54,1,396.74,355.94
2024-04-05,406.5,416.96,395.59,412.23,605372,,331.68,14.67,366.67,360.71,416.96,401.52,0,,
2024-04-08,415.47,420.1,396.99,400.08,338666,,338.85,15.27,360.82,362.48,420.1,416.96,0,,
2024-04-09,403.27,404.46,386.13,389.37,201882,,343.04,15.49,355.17,363.84,420.1,420.1,0,,
2024-04-10,392.55,402.12,386.68,393.3,203897,,354.2,15.48,361.42,365.06,420.1,420.1,0,,
2024-04-12,392.55,403.51,388.37,390.36,272029,,354.2,15.46,359.54,366.03,420.1,420.1,0,,
2024-04-15,382.59,395.24,373.77,384.33,254663,,354.3,15.89,355.4,366.91,420.1,420.1,0,,
2024-04-16,386.38,397.98,382.64,388.92,176683,,354.74,15.85,358.53,368.25,420.1,420.1,0,,
2024-04-18,394.85,405.51,389.81,391.26,282856,,354.74,15.9,360.01,369.87,420.1,420.1,0,,
2024-04-19,387.92,395.1,383.84,390.81,159342,,362.86,15.57,362.65,371.38,420.1,420.1,0,,
2024-04-22,394.55,399.58,385.63,387.17,157894,,369.74,15.45,362.67,372.61,420.1,420.1,0,,
2024-04-23,388.62,393.45,373.57,375.37,289720,,373.57,15.77,356.12,373.61,420.1,420.1,0,,
2024-04-24,381.6,398.43,377.61,379.95,459227,,373.57,16.29,358.73,374.88,420.1,420.1,0,,
2024-04-25,384.48,390.56,380.6,390.31,79682,,373.57,15.89,365.68,376.19,420.1,420.1,0,,
2024-04-26,390.31,393.35,376.61,383.19,236306,,373.57,15.95,361.05,377.36,420.1,420.1,0,,
2024-04-29,384.58,392.95,379.1,388.72,106651,,373.57,15.8,364.72,378.92,420.1,420.1,0,,
2024-04-30,384.58,395.54,382.99,386.38,212832,,373.57,15.57,363.36,380.63,420.1,420.1,0,,
2024-05-02,382.14,391.51,377.61,378.81,224364,,373.57,15.45,358.56,381.84,420.1,420.1,0,,
2024-05-03,382.99,382.99,366.25,369.59,233817,,366.25,15.54,350.11,382.62,420.1,420.1,0,,
2024-05-06,370.83,382.84,365.16,379.65,227303,,365.16,15.69,356.13,383.26,420.1,420.1,0,,
2024-05-07,375.82,382.59,369.74,379.05,92607,,365.16,15.49,355.88,383.77,420.1,420.1,0,,
2024-05-08,380.6,380.6,372.68,377.71,82398,,365.16,14.95,355.38,384.27,420.1,420.1,0,,
2024-05-09,378.61,380.9,373.03,378.56,177572,,365.16,14.44,356.26,384.78,405.51,420.1,0,,
2024-05-10,378.56,380.2,370.59,378.76,122164,,365.16,14.1,356.62,385.13,405.51,405.51,0,,
2024-05-13,378.76,381.4,363.96,368.29,125480,,363.96,14.34,349.31,385.01,405.51,405.51,0,,
2024-05-14,377.01,377.01,368.19,371.73,39917,,363.96,13.94,351.79,384.96,405.51,405.51,0,,
2024-05-15,374.62,374.62,360.67,362.81,125336,,360.67,13.94,344.94,384.34,405.51,405.51,0,,
2024-05-16,364.76,368.04,360.52,363.01,59454,,360.52,13.48,345.33,383.44,405.51,405.51,0,,
2024-05-17,364.11,366.0,357.68,361.22,139138,,357.68,13.11,343.47,382.72,399.58,405.51,0,,
2024-05-21,370.64,372.83,361.87,371.53,92270,,357.68,13.01,350.19,382.31,399.58,399.58,0,,
2024-05-22,371.53,380.7,367.7,377.81,100805,,357.68,13.01,354.24,381.68,398.43,399.58,0,,
2024-05-23,377.81,384.58,374.12,377.06,81333,,357.68,12.83,353.88,380.5,398.43,398.43,0,,
2024-05-24,377.61,379.2,368.74,374.22,51874,,357.68,12.66,352.16,379.64,395.54,398.43,0,,
2024-05-27,363.66,379.5,363.61,377.91,172216,,357.68,12.89,354.39,379.26,395.54,395.54,0,,
2024-05-28,378.61,380.9,365.65,371.28,84882,,357.68,13.06,350.0,378.53,395.54,395.54,0,,
2024-05-29,371.28,375.62,364.51,373.92,66675,,357.68,12.92,351.79,377.98,395.54,395.54,0,,
2024-05-30,368.64,379.3,366.85,373.52,121031,,357.68,12.88,351.56,377.62,391.51,395.54,0,,
2024-05-31,379.6,383.59,373.52,380.9,112559,,357.68,12.68,356.45,377.35,384.58,391.51,0,,
2024-06-03,383.54,389.57,380.3,384.78,144755,,357.68,12.44,359.12,377.13,389.57,384.58,1,384.78,359.12
2024-06-04,387.57,387.57,346.32,356.09,110291,,346.32,14.5,335.45,375.98,389.57,389.57,0,,
2024-06-05,361.02,373.72,353.95,367.25,107028,,346.32,14.87,342.4,375.31,389.57,389.57,0,,
2024-06-06,367.65,376.02,363.51,371.43,72186,,346.32,14.7,345.21,375.18,389.57,389.57,0,,
2024-06-07,371.93,386.58,368.64,383.94,112702,,346.32,14.94,353.12,375.31,389.57,389.57,0,,
2024-06-10,389.91,389.91,381.6,383.84,80773,,346.32,14.46,353.38,375.1,389.91,389.57,0,,
2024-06-11,384.58,391.76,372.73,374.82,130127,,346.32,14.79,347.34,374.82,391.76,389.91,0,,
2024-06-12,380.6,396.74,375.77,383.74,194100,,346.32,15.3,352.75,374.65,396.74,391.76,0,,
2024-06-13,383.79,398.18,383.79,390.51,183268,368.45,346.32,15.24,357.16,374.79,398.18,396.74,0,,
2024-06-14,393.55,399.53,387.37,390.51,107989,368.31,346.32,15.02,357.31,375.18,399.53,398.18,0,,
2024-06-18,383.94,395.54,383.94,391.76,77485,368.22,346.32,14.77,358.28,375.92,399.53,399.53,0,,
2024-06-19,390.06,409.49,384.88,397.24,204892,368.28,346.32,15.48,361.34,376.51,409.49,399.53,0,,
2024-06-20,403.51,429.42,397.59,423.24,829156,368.56,346.32,16.67,377.32,377.98,429.42,409.49,1,423.24,377.32
2024-06-21,433.4,441.18,419.46,422.94,342633,368.84,346.32,17.03,376.88,379.49,441.18,429.42,0,,
2024-06-24,414.47,419.21,403.66,412.63,170691,368.9,346.32,17.19,370.13,380.62,441.18,441.18,0,,
2024-06-25,414.47,417.31,404.51,406.2,53404,368.93,346.32,16.88,366.19,381.54,441.18,441.18,0,,
2024-06-26,408.0,422.2,403.76,415.07,148171,369.12,353.95,16.99,374.38,383.1,441.18,441.18,0,,
2024-06-27,418.46,418.46,388.97,396.94,119955,369.11,363.51,17.88,365.28,383.94,441.18,441.18,0,,
2024-06-28,395.05,405.51,393.05,402.52,122408,369.18,368.64,17.49,370.84,385.26,441.18,441.18,0,,
2024-07-01,407.35,423.24,400.08,416.22,227622,369.37,372.73,17.9,380.77,387.03,441.18,441.18,0,,
2024-07-02,418.46,423.44,407.65,411.48,143170,369.58,372.73,17.75,377.82,388.71,441.18,441.18,0,,
2024-07-03,417.76,419.75,408.0,409.14,81151,369.7,375.77,17.32,377.61,389.96,441.18,441.18,0,,
2024-07-04,414.87,433.35,408.35,421.45,382529,369.92,383.79,17.87,387.85,391.42,441.18,441.18,0,,
2024-07-05,424.34,437.89,418.66,427.43,259304,370.21,383.94,17.97,391.7,393.1,441.18,441.18,0,,
2024-07-08,428.32,438.19,421.75,430.86,211263,370.53,383.94,17.86,393.98,394.99,441.18,441.18,0,,
2024-07-09,435.4,445.36,428.92,432.86,424129,370.93,384.88,17.76,395.65,396.82,445.36,441.18,0,,
2024-07-10,432.41,436.79,398.53,424.34,262855,371.34,388.97,19.22,390.54,398.59,445.36,445.36,0,,
2024-07-11,422.89,428.42,415.47,418.06,264923,371.71,388.97,18.77,386.79,400.06,445.36,445.36,0,,
2024-07-12,421.25,425.83,418.46,422.79,135529,372.13,388.97,17.99,390.37,401.7,445.36,445.36,0,,
2024-07-15,423.44,428.37,410.49,416.42,212135,372.6,388.97,17.98,386.26,402.88,445.36,445.36,0,,
2024-07-16,414.47,422.15,414.22,415.42,114213,373.01,388.97,17.26,386.1,403.9,445.36,445.36,0,,
2024-07-18,411.24,415.37,407.3,411.34,102228,373.36,388.97,16.61,383.9,405.75,445.36,445.36,0,,
2024-07-19,410.24,413.63,401.67,404.96,113296,373.75,393.05,16.28,381.37,407.0,445.36,445.36,0,,
2024-07-22,413.48,425.04,399.58,416.42,178700,374.2,398.53,16.93,390.15,408.5,445.36,445.36,0,,
2024-07-23,422.44,453.33,401.92,438.09,1163628,374.86,398.53,19.39,402.48,410.31,453.33,445.36,0,,
