Date,Open,High,Low,Close,Volume,SMA150,MA30,DonchianLow15,DonchianHigh20,DonchianHigh20_prev,ATR14,RSI14,BuyCall,EntryPrice,CandidateStop,StopLoss_Entry,TrailingStop,InPosition,TradeId,EntryDate,ExitSignal,ExitPrice,ExitReason,HoldingDays,PnL_pct
2026-01-01,419.2,430.0,417.55,427.75,10096081,,373.94,365.2,432.3,432.3,15.42,68.61,0,,387.35,,,0,,,0,,,,
2026-01-02,433.1,448.0,432.75,442.25,15267178,,377.92,365.2,448.0,432.3,15.76,72.91,0,,396.48,,,0,,,0,,,,
2026-01-05,433.85,437.8,422.5,426.45,15748095,,381.34,365.2,448.0,448.0,16.05,62.81,0,,386.1,,,0,,,0,,,,
2026-01-06,429.95,437.45,427.2,432.65,8271070,,385.07,374.5,448.0,448.0,15.69,64.86,0,,393.44,,,0,,,0,,,,
2026-01-07,435.0,440.65,430.15,435.75,13125259,,389.0,383.55,448.0,448.0,15.32,65.88,0,,398.7,,,0,,,0,,,,
2026-01-08,436.85,441.5,430.5,435.2,11209566,,392.71,385.25,448.0,448.0,15.01,65.52,0,,399.12,,,0,,,0,,,,
2026-01-09,431.0,446.15,428.2,431.55,15300641,,395.63,385.25,448.0,448.0,15.22,63.04,0,,396.62,,,0,,,0,,,,
2026-01-12,430.0,430.05,414.7,424.9,10323536,,398.06,394.35,448.0,448.0,15.33,58.69,0,,395.29,,,0,,,0,,,,
2026-01-13,425.3,432.5,422.15,424.15,7174148,,400.23,403.4,448.0,448.0,14.98,58.2,0,,398.06,,,0,,,0,,,,
2026-01-14,426.05,436.0,422.65,433.75,9765782,,402.86,403.4,448.0,448.0,14.86,62.5,0,,404.33,,,0,,,0,,,,
2026-01-15,433.75,433.75,433.75,433.75,0,,405.3,403.4,448.0,448.0,13.8,62.5,0,,405.04,,,0,,,0,,,,
2026-01-16,431.95,446.65,427.5,438.5,12641260,,408.04,406.0,448.0,448.0,14.18,64.59,0,,408.71,,,0,,,0,,,,
2026-01-19,442.0,451.2,434.5,441.4,11049623,,410.77,406.0,451.2,448.0,14.36,65.84,0,,410.46,,,0,,,0,,,,
2026-01-20,441.4,446.4,426.55,432.45,9845662,,413.17,409.7,451.2,451.2,14.75,58.92,0,,405.66,,,0,,,0,,,,
2026-01-21,431.35,449.55,421.1,434.85,13056494,,415.23,414.7,451.2,451.2,15.73,60.13,0,,408.22,,,0,,,0,,,,
2026-01-22,436.1,453.8,435.85,444.9,13509687,,417.46,414.7,453.8,451.2,15.96,64.81,0,,414.55,,,0,,,0,,,,
2026-01-23,446.95,456.4,439.35,449.2,11557765,,420.01,414.7,456.4,453.8,16.04,66.61,0,,417.27,,,0,,,0,,,,
2026-01-27,450.0,454.75,438.5,443.9,12074561,,422.36,414.7,456.4,456.4,16.06,62.37,0,,413.85,,,0,,,0,,,,
2026-01-28,450.0,470.25,448.0,467.95,12636077,,425.36,414.7,470.25,456.4,16.79,71.3,0,,428.87,,,0,,,0,,,,
2026-01-29,473.75,475.5,459.75,470.2,11679596,,428.12,414.7,475.5,470.25,16.72,71.97,0,,430.37,,,0,,,0,,,,
2026-01-30,461.0,485.4,450.55,458.5,15832762,,430.51,414.7,485.4,475.5,18.01,63.65,0,,421.96,,,0,,,0,,,,
2026-02-02,441.0,446.9,431.0,443.55,12182905,,431.92,414.7,485.4,485.4,18.69,54.9,0,,411.86,,,0,,,0,,,,
2026-02-03,470.0,479.7,451.25,457.95,14919486,,434.04,421.1,485.4,485.4,19.94,60.53,0,,422.45,,,0,,,0,,,,
2026-02-04,464.0,472.9,456.65,458.45,8203293,,435.6,421.1,485.4,485.4,19.67,60.71,0,,422.95,,,0,,,0,,,,
2026-02-05,461.6,465.75,454.0,455.9,4548779,,436.6,421.1,485.4,485.4,19.11,59.2,0,,421.68,,,0,,,0,,,,
2026-02-06,458.0,461.45,447.6,458.25,9348251,,438.25,421.1,485.4,485.4,18.73,60.18,0,,423.45,,,0,,,0,,,,
2026-02-09,460.0,472.95,456.8,466.8,9824389,,440.18,421.1,485.4,485.4,18.55,63.62,0,,429.09,,,0,,,0,,,,
2026-02-10,470.0,476.9,467.8,472.55,4679330,,442.29,421.1,485.4,485.4,17.94,65.75,0,,433.2,,,0,,,0,,,,
2026-02-11,488.0,497.8,479.3,487.2,19065592,,444.87,421.1,497.8,485.4,18.47,70.51,0,,442.3,,,0,,,0,,,,
2026-02-12,491.05,500.0,483.65,498.15,14236647,,447.63,431.0,500.0,497.8,18.31,73.47,0,,452.76,,,0,,,0,,,,
2026-02-13,494.0,498.9,481.55,483.75,7492461,,449.49,431.0,500.0,500.0,18.25,64.32,0,,443.52,,,0,,,0,,,,
